,city,city_id,lat,max_temp,cloudiness,country,date,humidity,long,wind_speed
79,mahibadhoo,1337605,3.78,83.25,55,MV,1607227321,75,72.97,14.81
80,barao de melgaco,3470871,-16.19,80.6,0,BR,1607227471,78,-55.97,3.36
81,bethel,5282297,41.37,36.0,40,US,1607227471,64,-73.41,5.82
82,demba,217389,-5.51,67.06,100,CD,1607227472,100,22.27,2.48
83,parabel,1495586,58.7,6.04,97,RU,1607227472,95,81.48,7.25
84,eatonton,4192800,33.33,46.99,1,US,1607227472,81,-83.39,4.54
85,nishihara,1855342,26.18,69.8,90,JP,1607227473,100,127.76,12.75
86,hermanus,3366880,-34.42,64.99,100,ZA,1607227563,83,19.23,5.99
87,san quintin,3984997,30.48,56.3,93,MX,1607227563,53,-115.95,1.43
88,vanimo,2084442,-2.67,84.58,97,PG,1607227564,74,141.3,3.91
89,lodja,211647,-3.48,67.26,75,CD,1607227564,98,23.43,0.67
90,mataura,6201424,-46.19,62.01,100,NZ,1607227564,59,168.86,5.99
91,samarai,2132606,-10.62,85.6,49,PG,1607227564,72,150.67,14.05
92,caravelas,3466980,-17.71,73.67,21,BR,1607227565,87,-39.25,5.3
93,georgetown,1735106,5.41,87.8,20,MY,1607227565,70,100.34,3.36
94,bilma,2446796,18.69,70.61,0,NE,1607227565,24,12.92,6.8
95,stawell,2148431,-37.05,55.47,92,AU,1607227566,60,142.77,15.7
96,hinton,5975503,53.4,23.0,100,CA,1607227566,79,-117.59,3.36
97,puerto suarez,3444199,-18.95,70.23,100,BO,1607227566,85,-57.8,3.51
98,bethlehem,3405870,-1.46,78.8,0,BR,1607227473,88,-48.5,5.82
99,aklavik,5882953,68.22,-2.2,3,CA,1607227566,77,-135.01,3.36
100,kuching,1735634,1.55,80.6,75,MY,1607227567,94,110.33,3.36
101,cape canaveral,4149959,28.41,60.8,1,US,1607227567,87,-80.6,3.36
102,urubicha,3901969,-15.38,69.22,99,BO,1607227567,77,-62.95,3.58
103,severo-kurilsk,2121385,50.68,30.4,84,RU,1607227568,87,156.12,25.17
104,vaini,4032243,-21.2,80.6,75,TO,1607227568,83,-175.2,5.82
105,longyearbyen,2729907,78.22,15.8,75,SJ,1607227306,72,15.64,14.99
106,clarence town,2171465,-32.58,90.0,14,AU,1607227569,27,151.78,27.51
107,shenjiamen,1795632,29.96,56.44,100,CN,1607227569,66,122.3,10.6
108,saskylakh,2017155,71.92,0.93,100,RU,1607227569,92,114.08,10.85
109,hobart,2163355,-42.88,59.0,40,AU,1607227569,41,147.33,26.4
110,kouroussa,2418437,10.65,69.3,10,GN,1607227569,36,-9.88,2.84
111,chapais,5919850,49.78,14.0,90,CA,1607227570,100,-74.85,5.82
112,tucuman,3836873,-26.82,62.6,0,AR,1607227570,88,-65.22,2.24
113,saint-philippe,935215,-21.36,80.6,0,RE,1607227570,57,55.77,4.7
114,coolum beach,2170581,-26.53,95.0,76,AU,1607227500,40,153.1,3.0
115,carnarvon,2074865,-24.87,80.6,54,AU,1607227571,51,113.63,20.8
116,eyl,60019,7.98,78.03,84,SO,1607227571,69,49.82,9.31
117,upernavik,3418910,72.79,11.28,100,GL,1607227571,90,-56.15,11.68
118,asyut,359783,27.18,50.14,2,EG,1607227571,63,31.18,3.27
119,douglas,5067114,41.3,39.2,1,US,1607227572,72,-96.17,7.9
120,padang,1633419,-0.95,86.4,64,ID,1607227314,60,100.35,5.01
121,alofi,4036284,-19.06,84.2,98,NU,1607227572,74,-169.92,11.41
122,primo tapia,3979430,32.22,55.4,1,MX,1607227572,81,-116.92,5.64
123,torbay,6167817,47.67,45.0,75,CA,1607227521,100,-52.73,13.87
124,indianola,4861719,41.36,35.6,20,US,1607227414,69,-93.56,5.82
125,pasni,1168312,25.26,75.85,0,PK,1607227573,42,63.47,8.23
126,natal,3394023,-5.79,78.8,20,BR,1607227444,78,-35.21,11.41
127,tuatapere,2180815,-46.13,62.01,97,NZ,1607227574,59,167.68,5.99
128,guarapari,3461888,-20.67,78.8,90,BR,1607227574,83,-40.5,5.82
